"hotelname","branchlocation","telephone","roomid","branchname","roomdecor","accessibilityfeatures","roomtype","roomview","buildingfloor","bathroom","bedconfiguration","services","roomsize","wifi","maxpeople","smoking","facility","measure","transportation","marketingstrategy","technology"
"Mountain Lodge Retreat","Woodland Area","096-543-2109",1012,"Mountain Lodge - Woodland","Vintage",NULL,"Standard","Mountain View","7th Floor","Private","Twin Beds","Concierge",330,True,2,True,NULL,NULL,NULL,NULL,NULL
"Mountain Lodge Retreat","Woodland Area","096-543-2109",1013,"Mountain Lodge - Woodland","Minimalist",NULL,"Standard","Ocean View","9th Floor","Private","Queen Bed","Housekeeping",370,True,2,False,NULL,NULL,NULL,NULL,NULL
"Ocean View Resort","Coastal Area","010-987-6543",1008,"Ocean View - Coastal Retreat","Classic",NULL,"Standard","Mountain View","4th Floor","Shared","Queen Bed","Housekeeping",270,True,2,False,NULL,NULL,NULL,NULL,NULL
"Ocean View Resort","Coastal Area","010-987-6543",1009,"Ocean View - Coastal Retreat","Modern",NULL,"Suite","Lake View","5th Floor","Private","King Bed","Laundry",390,True,4,True,NULL,NULL,NULL,NULL,NULL
"Royal Gardens Hotel","Park Area","090-987-6543",1020,"Royal Gardens - Parkside","Contemporary",NULL,"Suite","Garden View","2nd Floor","Private","Bunk Beds","Valet Parking",310,True,4,False,NULL,NULL,NULL,NULL,NULL
"Royal Gardens Hotel","Park Area","090-987-6543",1021,"Royal Gardens - Parkside","Contemporary",NULL,"Standard","City View","6th Floor","Private","Double Bed","Room Service",280,True,2,False,NULL,NULL,NULL,NULL,NULL
"Royal Gardens Hotel","Riverfront","089-876-5432, 999-876-5432",1022,"Royal Gardens - Riverfront","Vintage",NULL,"Standard","Mountain View","4th Floor","Shared","Queen Bed","Housekeeping",270,True,2,False,NULL,NULL,NULL,NULL,NULL
"Royal Gardens Hotel","Riverfront","089-876-5432, 999-876-5432",1022,"Royal Gardens - Riverfront","Vintage",NULL,"Standard","Mountain View","4th Floor","Shared","Queen Bed","Housekeeping",270,True,2,False,NULL,NULL,NULL,NULL,NULL
"Royal Gardens Hotel","Riverfront","089-876-5432, 999-876-5432",1023,"Royal Gardens - Riverfront","Modern",NULL,"Standard","City View","5th Floor","Private","Double Bed","Room Service",300,True,2,False,NULL,NULL,NULL,NULL,NULL
"Royal Gardens Hotel","Riverfront","089-876-5432, 999-876-5432",1023,"Royal Gardens - Riverfront","Modern",NULL,"Standard","City View","5th Floor","Private","Double Bed","Room Service",300,True,2,False,NULL,NULL,NULL,NULL,NULL
"Sample Hotel","City Center","098-234-5234",1,"Main Branch","Modern","Free Wi-Fi","Standard","City View","5th Floor","Private","Double Bed","Cleaning Service",30,True,2,False,NULL,NULL,NULL,NULL,NULL
"Sunset Paradise Inn","Lakefront","098-765-4321",1010,"Sunset Paradise - Lakeside","Contemporary",NULL,"Suite","Garden View","2nd Floor","Private","Bunk Beds","Valet Parking",310,True,4,False,NULL,NULL,NULL,NULL,NULL
"Sunset Paradise Inn","Lakefront","098-765-4321",1011,"Sunset Paradise - Lakeside","Urban",NULL,"Standard","City View","8th Floor","Shared","Double Bed","Room Service",350,True,2,False,NULL,NULL,NULL,NULL,NULL
